number,solution,myTime,bp1time,bp2time,bp3time
82215334262646,82215334262664,0.0145,0.0057,0.0278,0.0245
82285673415468,82285673415486,0.0037,0.002,0.0269,0.0234
82722741309777,82722741370779,0.0134,0.0047,86.7882,87.8198
83528242824568,83528242824586,0.0189,0.0075,0.0319,0.026
84759159389513,84759159389531,0.0044,0.0023,0.0271,0.0232
86368593392790,86368593392907,0.0053,0.0023,0.1749,0.1306
87062850286527,87062850286572,0.0031,0.0018,0.1225,0.0598
88507671517665,88507671551667,0.0151,0.0056,48.1647,47.9058
88814305154194,88814305154419,0.0075,0.003,0.3101,0.2634
89209167724515,89209167724551,0.0049,0.0026,0.0581,0.0461
91022251444854,91022251445448,0.007,0.0028,0.7943,0.7803
91730610983635,91730610983653,0.0081,0.0041,0.0457,0.0455
91889589921043,91889589921304,0.012,0.0045,0.3999,0.3107
92390646713013,92390646713031,0.0044,0.0215,0.0407,0.0585
94713334369391,94713334369913,0.0058,0.0028,0.7636,0.7252
95510264580089,95510264580098,0.0049,0.0025,0.0151,0.0143
96577159988222,96577182225899,0.0122,0.0037,31741.5629,32115.3833
98957130596070,98957130596700,0.0133,0.0047,1.0885,1.1003
99429662316930,99429662319036,0.0071,0.003,2.8293,3.1331
99674144504980,99674144508049,0.0061,0.0027,4.6732,5.7143
102476959300817,102476959300871,0.0038,0.0022,0.09,0.0692
104791813136609,104791813136690,0.0062,0.0218,0.1519,0.0975
132138727572286,132138727572628,0.0063,0.0029,0.524,0.6345
136966719728823,136966719728832,0.0036,0.0019,0.0181,0.0143
138865274213481,138865274213814,0.0072,0.0029,0.6616,0.4291
148401830700474,148401830700744,0.006,0.0027,0.3962,0.3249
174789161024497,174789161024749,0.0172,0.006,0.3982,0.3099
192410273664388,192410273664838,0.0044,0.0022,0.6993,0.6526
202724799973495,202724799973549,0.0114,0.005,0.0859,0.066
208142357401383,208142357401833,0.0053,0.0025,0.6902,0.5631
213263559704254,213263559704425,0.0067,0.0029,0.2654,0.2021
241084368262228,241084368262282,0.0047,0.0026,0.1515,0.1016
241617558420091,241617558420109,0.0064,0.003,0.0287,0.026
256874448969901,256874448969910,0.0038,0.0019,0.0206,0.0139
258782136144379,258782136144397,0.0047,0.0025,0.0302,0.0258
260933048013151,260933048013511,0.0049,0.0025,0.541,0.4889
262437975314104,262437975314140,0.0044,0.0021,0.0764,0.0462
264482091526166,264482091526616,0.007,0.0028,0.6837,0.5785
264484501915167,264484501915176,0.0112,0.0042,0.0194,0.016
275202622535670,275202622535706,0.0058,0.0025,0.0793,0.0456
290139777911078,290139777911087,0.0034,0.0019,0.0164,0.014
304432684630735,304432684630753,0.0034,0.002,0.0293,0.0245
342136860323655,342136860325356,0.0066,0.003,2.75,3.0253
345702335002936,345702335002963,0.0035,0.002,0.0415,0.0352
371197533456912,371197533456921,0.004,0.0023,0.0173,0.0145
376004994433879,376004994433897,0.0159,0.006,0.0408,0.0321
397453018097952,397453018099257,0.0061,0.003,1.9655,1.7786
401875632226071,401875632226107,0.0116,0.0048,0.0723,0.046
413961490410683,413961490410836,0.0054,0.0027,0.2272,0.1898
434044425310237,434044425310273,0.0043,0.0022,0.0556,0.0453
437363919638649,437363919638694,0.0055,0.0024,0.0941,0.0556
447381666523023,447381666523032,0.0092,0.0037,0.0173,0.015
448284108661001,448284108661010,0.0101,0.0084,0.0174,0.0149
450261593417058,450261593417085,0.0117,0.0048,0.043,0.0357
451088230897815,451088230897851,0.0053,0.0024,0.0566,0.0444
454488130904013,454488130904031,0.0037,0.0021,0.0312,0.0259
458901193142426,458901193142462,0.0049,0.0024,0.0537,0.5161
461196173971986,461196173976189,0.0225,0.0082,6.6197,9.248
478061894451854,478061894454158,0.0055,0.0025,4.1718,3.4156
482661398026681,482661398026816,0.0131,0.0048,0.1883,0.1587
488456656324966,488456656326469,0.0059,0.0028,2.5017,2.3874
499703907125647,499703907125674,0.0159,0.0052,0.0423,0.035
501877473554473,501877473554734,0.0058,0.0029,0.4122,0.3207
515150338361817,515150338361871,0.0032,0.0018,0.0858,0.0661
518854558428818,518854558428881,0.0044,0.0021,0.1164,0.1614
529993363770012,529993363770021,0.0149,0.006,0.0174,0.0155
536869156053863,536869156056338,0.0063,0.0031,4.2039,4.9726
541223469988998,541223469989889,0.0095,0.0035,1.4627,1.3928
541979084239931,541979084291339,0.0204,0.0076,82.8317,76.4604
564699246689561,564699246689615,0.0068,0.0029,0.0824,0.0658
591029002737711,591029002771137,0.0066,0.0029,54.8545,54.6579
601247014386596,601247014386659,0.005,0.0025,0.0933,0.0768
611239673128400,611239673140028,0.007,0.0032,19.1795,17.7886
612845497412394,612845497412439,0.0057,0.0026,0.0913,0.062
615002555907133,615002555907313,0.0047,0.0023,0.3128,0.2209
618157282445790,618157282445907,0.0057,0.0026,0.1922,0.1408
621402613305036,621402613305063,0.0047,0.0022,0.0426,0.0357
623923335623853,623923335625338,0.006,0.0035,2.1584,1.8409
633672491465992,633672491469259,0.0109,0.0039,5.5421,5.5903
649584159851603,649584159851630,0.0034,0.0019,0.0551,0.0351
668723182033625,668723182033652,0.0039,0.0021,0.0454,0.0356
695960638381428,695960638381482,0.0082,0.0035,0.078,0.0673
706522456624630,706522456626034,0.0059,0.0029,2.0842,1.8625
732172455387162,732172455387216,0.0066,0.0026,0.0875,0.0782
742926005965080,742926005965800,0.0044,0.0024,1.5074,0.8869
765716537621863,765716537623168,0.0059,0.0023,1.8965,1.745
767461199286509,767461199286590,0.0156,0.0053,0.1214,0.1008
769487079474208,769487079474280,0.0047,0.0189,0.106,0.1812
775618043709857,775618043709875,0.0038,0.0022,0.0317,0.0272
784120953832935,784120953832953,0.0152,0.0059,0.0329,0.0257
786124288193816,786124288193861,0.0045,0.0023,0.0705,0.0583
788276448174254,788276448174425,0.0205,0.0067,0.292,0.2106
822637676141928,822637676141982,0.0046,0.0021,0.0847,0.0666
823017939443743,823017939444337,0.007,0.0027,0.8831,0.7302
826397993609614,826397993609641,0.0035,0.002,0.0436,0.0366
850372065641036,850372065641063,0.0042,0.0023,0.0411,0.036
869881610452607,869881610452670,0.0054,0.0024,0.0912,0.0801
875796795834941,875796795839144,0.0066,0.0032,7.1289,6.1697
891746258579216,891746258579261,0.01,0.004,0.0731,0.0599
899344438529880,899344438580289,0.021,0.0067,83.3522,80.745
900641886888928,900641886888982,0.0052,0.0026,0.0803,0.1251
919410149225288,919410149225828,0.0069,0.003,0.774,0.6316
922597103375392,922597103375923,0.0113,0.0043,0.7769,0.6864
932364933733908,932364933733980,0.018,0.007,0.1063,0.0859
938213806902789,938213806902798,0.0049,0.0026,0.0166,0.0145
939784463540612,939784463540621,0.0205,0.0069,0.0178,0.0156
963033645520309,963033645520390,0.0033,0.0018,0.1511,0.0967
964336588771538,964336588771583,0.0118,0.0232,0.084,0.0574
975548976571553,975548976573155,0.0077,0.0032,2.3692,2.615
999216198896628,999216198896682,0.0273,0.0022,0.0794,0.1489
